"CountyFIPS","PlaceFIPS","Tp10","Gqp10","Hp10","Pph10","Thu10","Ohu10","Vhu10","Vr10","Tp11","Gqp11","Hp11","Pph11","Thu11","Ohu11","Vhu11","Vr11","Tp12","Gqp12","Hp12","Pph12","Thu12","Ohu12","Vhu12","Vr12","Tp13","Gqp13","Hp13","Pph13","Thu13","Ohu13","Vhu13","Vr13","Tp14","Gqp14","Hp14","Pph14","Thu14","Ohu14","Vhu14","Vr14","Tp15","Gqp15","Hp15","Pph15","Thu15","Ohu15","Vhu15","Vr15","Tp16","Gqp16","Hp16","Pph16","Thu16","Ohu16","Vhu16","Vr16","Tp17","Gqp17","Hp17","Pph17","Thu17","Ohu17","Vhu17","Vr17","Tp18","Gqp18","Hp18","Pph18","Thu18","Ohu18","Vhu18","Vr18","Tp19","Gqp19","Hp19","Pph19","Thu19","Ohu19","Vhu19","Vr19"
"123","85485",14171,103,14068,2.70,5556,5203,353,6.35,14504,103,14401,2.70,5634,5327,307,5.44,15098,103,14995,2.70,5800,5546,254,4.37,15921,103,15818,2.70,6054,5851,203,3.35,16531,103,16428,2.70,6218,6076,142,2.28,16958,103,16855,2.70,6344,6234,110,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"123","19080",4181,0,4181,2.84,1560,1469,91,5.83,4275,0,4275,2.84,1580,1502,78,4.93,4349,0,4349,2.84,1589,1528,61,3.83,4411,0,4411,2.84,1595,1550,45,2.82,4461,0,4461,2.84,1595,1568,27,1.69,4486,0,4486,2.84,1595,1576,19,1.19,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","22860",4384,0,4384,2.69,1699,1628,71,4.17,4446,0,4446,2.69,1707,1651,56,3.28,4526,0,4526,2.69,1718,1681,37,2.15,4628,0,4628,2.69,1738,1719,19,1.09,4801,0,4801,2.69,1783,1783,0,0.00,4925,0,4925,2.70,1819,1819,0,0.00,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","24950",9882,0,9882,2.80,3732,3525,207,5.54,10245,0,10245,2.80,3833,3654,179,4.66,10628,0,10628,2.80,3931,3791,140,3.56,10971,0,10971,2.80,4015,3913,102,2.54,11458,0,11458,2.80,4147,4087,60,1.44,11967,0,11967,2.80,4307,4269,38,0.88,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","25280",18651,4,18647,2.94,6777,6333,444,6.55,18956,4,18952,2.94,6823,6436,387,5.67,19428,4,19424,2.94,6914,6597,317,4.58,19709,4,19705,2.94,6940,6692,248,3.57,19481,4,19477,2.94,6784,6615,169,2.49,19933,4,19929,2.94,6903,6768,135,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"123","26600",10249,0,10249,3.08,3521,3327,194,5.50,10593,0,10593,3.08,3605,3439,166,4.60,10879,0,10879,3.08,3660,3532,128,3.49,11154,0,11154,3.08,3713,3621,92,2.47,11506,0,11506,3.08,3788,3735,53,1.39,11961,0,11961,3.08,3916,3883,33,0.84,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","27700",7454,0,7454,3.08,2551,2416,135,5.29,7523,0,7523,3.08,2550,2438,112,4.39,7614,0,7614,3.08,2552,2468,84,3.29,7695,0,7695,3.08,2552,2494,58,2.27,7800,0,7800,3.08,2558,2528,30,1.17,7847,0,7847,3.08,2559,2543,16,0.62,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","28360",8735,0,8735,2.94,3078,2969,109,3.54,8969,0,8969,2.94,3131,3049,82,2.61,9393,0,9393,2.94,3242,3193,49,1.51,10152,0,10152,2.94,3467,3451,16,0.46,10891,0,10891,2.96,3678,3678,0,0.00,11387,0,11387,2.97,3824,3824,0,0.00,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","03950",1525,0,1525,2.63,615,579,36,5.85,1539,0,1539,2.63,615,585,30,4.87,1557,0,1557,2.63,615,591,24,3.90,1579,0,1579,2.63,617,600,17,2.75,1609,0,1609,2.63,622,611,11,1.76,1631,0,1631,2.63,627,620,7,1.11,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","29185",235,0,235,2.11,128,111,17,13.28,235,0,235,2.11,127,111,16,12.59,238,0,238,2.10,127,113,14,11.02,240,0,240,2.10,127,114,13,10.23,243,0,243,2.11,127,115,12,9.44,244,0,244,2.10,127,116,11,8.66,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
