CountyFIPS,PlaceFIPS,Tp10,Gqp10,Hp10,Pph10,Thu10,Ohu10,Vhu10,Vr10,Tp11,Gqp11,Hp11,Pph11,Thu11,Ohu11,Vhu11,Vr11,Tp12,Gqp12,Hp12,Pph12,Thu12,Ohu12,Vhu12,Vr12,Tp13,Gqp13,Hp13,Pph13,Thu13,Ohu13,Vhu13,Vr13,Tp14,Gqp14,Hp14,Pph14,Thu14,Ohu14,Vhu14,Vr14,Tp15,Gqp15,Hp15,Pph15,Thu15,Ohu15,Vhu15,Vr15,Tp16,Gqp16,Hp16,Pph16,Thu16,Ohu16,Vhu16,Vr16,Tp17,Gqp17,Hp17,Pph17,Thu17,Ohu17,Vhu17,Vr17,Tp18,Gqp18,Hp18,Pph18,Thu18,Ohu18,Vhu18,Vr18,Tp19,Gqp19,Hp19,Pph19,Thu19,Ohu19,Vhu19,Vr19
105,99990,5258,97,5161,2.502909796,3129,2062,1067,34.10035155,5218,97,5121,2.502932551,3139,2046,1093,34.82000637,5202,97,5105,2.50245098,3146,2040,1106,35.15575334,5131,97,5034,2.503232223,3153,2011,1142,36.21947352,5065,97,4968,2.502770781,3159,1985,1174,37.16365939,5008,97,4911,2.503058104,3165,1962,1203,38.00947867,5015,97,4918,2.502798982,3172,1965,1207,38.0517024,,97,,,,,,,,97,,,,,,,,97,,,,,,
107,0,23439,335,23104,2.342492142,16321,9863,6458,39.56865388,23237,338,22899,2.342848373,16349,9774,6575,40.216527,23257,305,22952,2.342997142,16385,9796,6589,40.21361001,23550,337,23213,2.342854259,16413,9908,6505,39.63321757,24010,346,23664,2.342970297,16469,10100,6369,38.67265772,24310,333,23977,2.342876686,16593,10234,6359,38.32338938,24679,343,24336,2.342703119,16689,10388,6301,37.75540775,,57,,,,,,,,57,,,,,,,,57,,,,,,
107,73825,12056,278,11778,2.270676692,9979,5187,4792,48.02084377,11950,281,11669,2.270675229,9994,5139,4855,48.57914749,11943,248,11695,2.270873786,10015,5150,4865,48.5771343,12099,280,11819,2.270701249,10026,5205,4821,48.08497905,12340,289,12051,2.270774449,10062,5307,4755,47.25700656,12497,276,12221,2.270717205,10144,5382,4762,46.94400631,12698,286,12412,2.270764727,10207,5466,4741,46.44851572,,,,,,,,,,,,,,,,,,,,,,,,
107,86475,427,0,427,2.454022989,214,174,40,18.69158879,423,0,423,2.445086705,214,173,41,19.1588785,425,0,425,2.456647399,215,173,42,19.53488372,431,0,431,2.448863636,216,176,40,18.51851852,440,0,440,2.458100559,217,179,38,17.51152074,442,0,442,2.455555556,217,180,37,17.05069124,448,0,448,2.448087432,218,183,35,16.05504587,,0,,,,,,,,0,,,,,,,,0,,,,,,
107,35070,1805,0,1805,2.455782313,807,735,72,8.921933086,1794,0,1794,2.457534247,811,730,81,9.987669544,1796,0,1796,2.456908345,812,731,81,9.975369458,1816,0,1816,2.457374831,813,739,74,9.102091021,1855,0,1855,2.456953642,817,755,62,7.58873929,1866,0,1866,2.455263158,817,760,57,6.976744186,1883,0,1883,2.455019557,817,767,50,6.11995104,,,,,,,,,,,,,,,,,,,,,,,,
107,55155,883,0,883,2.246819338,512,393,119,23.2421875,876,0,876,2.251928021,513,389,124,24.17153996,876,0,876,2.251928021,513,389,124,24.17153996,882,0,882,2.25,512,392,120,23.4375,893,0,893,2.249370277,510,397,113,22.15686275,904,0,904,2.248756219,513,402,111,21.6374269,914,0,914,2.251231527,514,406,108,21.01167315,,0,,,,,,,,0,,,,,,,,0,,,,,,
107,99990,8268,57,8211,2.433609959,4809,3374,1435,29.83988355,8194,57,8137,2.43404128,4817,3343,1474,30.59995848,8217,57,8160,2.433641515,4830,3353,1477,30.57971014,8322,57,8265,2.433745583,4846,3396,1450,29.92158481,8482,57,8425,2.433564414,4863,3462,1401,28.80937693,8601,57,8544,2.434188034,4902,3510,1392,28.39657283,8736,57,8679,2.433819405,4933,3566,1367,27.71133185,,57,,,,,,,,57,,,,,,,,57,,,,,,
109,0,6144,18,6126,2.309954751,3854,2652,1202,31.18837571,6184,18,6166,2.305046729,3890,2675,1215,31.23393316,6316,18,6298,2.304427369,3914,2733,1181,30.17373531,6221,18,6203,2.305947955,3941,2690,1251,31.74321238,6171,18,6153,2.305357812,3975,2669,1306,32.85534591,6219,18,6201,2.303491828,4007,2692,1315,32.81756925,6404,18,6386,2.302090844,4036,2774,1262,31.26858276,,18,,,,,,,,18,,,,,,,,18,,,,,,
109,7571,16,0,16,1.6,42,10,32,76.19047619,16,0,16,1.6,43,10,33,76.74418605,16,0,16,1.6,43,10,33,76.74418605,17,0,17,1.545454545,44,11,33,75,17,0,17,1.545454545,44,11,33,75,17,0,17,1.545454545,45,11,34,75.55555556,17,0,17,1.545454545,45,11,34,75.55555556,,0,,,,,,,,0,,,,,,,,0,,,,,,
109,67005,486,18,468,1.966386555,345,238,107,31.01449275,486,18,468,1.966386555,346,238,108,31.21387283,494,18,476,1.966942149,346,242,104,30.05780347,483,18,465,1.970338983,346,236,110,31.79190751,476,18,458,1.974137931,346,232,114,32.94797688,477,18,459,1.969957082,346,233,113,32.65895954,488,18,470,1.966527197,346,239,107,30.92485549,,18,,,,,,,,18,,,,,,,,18,,,,,,
109,12855,2015,0,2015,2.854107649,829,706,123,14.8371532,2014,0,2014,2.852691218,829,706,123,14.8371532,2045,0,2045,2.852161785,829,717,112,13.51025332,2001,0,2001,2.854493581,829,701,128,15.44028951,1971,0,1971,2.852387844,829,691,138,16.64656212,1973,0,1973,2.8552822,829,691,138,16.64656212,2019,0,2019,2.85572843,829,707,122,14.71652593,,0,,,,,,,,0,,,,,,,,0,,,,,,
109,18420,144,0,144,2.086956522,110,69,41,37.27272727,140,0,140,1.971830986,111,71,40,36.03603604,151,0,151,2.013333333,115,75,40,34.7826087,146,0,146,2.085714286,111,70,41,36.93693694,151,0,151,2.097222222,117,72,45,38.46153846,152,0,152,2.082191781,118,73,45,38.13559322,157,0,157,2.093333333,119,75,44,36.97478992,,0,,,,,,,,0,,,,,,,,0,,,,,,
109,51250,116,0,116,2.274509804,70,51,19,27.14285714,116,0,116,2.274509804,70,51,19,27.14285714,118,0,118,2.269230769,70,52,18,25.71428571,115,0,115,2.254901961,70,51,19,27.14285714,114,0,114,2.28,70,50,20,28.57142857,114,0,114,2.28,70,50,20,28.57142857,116,0,116,2.274509804,70,51,19,27.14285714,,0,,,,,,,,0,,,,,,,,0,,,,,,
109,99990,3367,0,3367,2.133713561,2458,1578,880,35.80146461,3412,0,3412,2.133833646,2491,1599,892,35.80891208,3492,0,3492,2.133170434,2511,1637,874,34.80684986,3459,0,3459,2.133867983,2541,1621,920,36.20621802,3442,0,3442,2.133911965,2569,1613,956,37.21292332,3486,0,3486,2.133414933,2599,1634,965,37.12966526,3607,0,3607,2.133057363,2627,1691,936,35.62999619,,0,,,,,,,,0,,,,,,,,0,,,,,,
11,0,6506,2208,4298,2.342234332,2243,1835,408,18.18992421,6304,2114,4190,2.342090553,2243,1789,454,20.240749,5778,1686,4092,2.342301088,2245,1747,498,22.18262806,5708,1715,3993,2.343309859,2249,1704,545,24.23299244,5747,1869,3878,2.34178744,2249,1656,593,26.36727434,5847,1907,3940,2.342449465,2249,1682,567,25.21120498,5626,1735,3891,2.34256472,2251,1661,590,26.21057308,,,,,,,,,,,,,,,,,,,,,,,,
11,43660,2413,78,2335,2.323383085,1214,1005,209,17.21581549,2354,78,2276,2.32244898,1214,980,234,19.27512356,2299,78,2221,2.323221757,1214,956,258,21.25205931,2241,78,2163,2.323308271,1214,931,283,23.31136738,2179,78,2101,2.321546961,1214,905,309,25.45304778,2213,78,2135,2.323177367,1214,919,295,24.29983526,2184,78,2106,2.321940463,1214,907,307,25.28830313,,,,,,,,,,,,,,,,,,,,,,,,
11,99990,4093,2130,1963,2.365060241,1029,830,199,19.33916424,3950,2036,1914,2.365883807,1029,809,220,21.37998056,3479,1608,1871,2.365360303,1031,791,240,23.27837051,3467,1637,1830,2.367399741,1035,773,262,25.31400966,3568,1791,1777,2.366178429,1035,751,284,27.43961353,3634,1829,1805,2.365661861,1035,763,272,26.28019324,3442,1657,1785,2.367374005,1037,754,283,27.29026037,,,,,,,,,,,,,,,,,,,,,,,,
111,0,709,0,709,2.031518625,757,349,408,53.89696169,693,0,693,2.032258065,758,341,417,55.01319261,692,0,692,2.029325513,759,341,418,55.07246377,700,0,700,2.034883721,765,344,421,55.03267974,719,0,719,2.031073446,765,354,411,53.7254902,696,0,696,2.035087719,765,342,423,55.29411765,698,0,698,2.034985423,771,343,428,55.51232166,,0,,,,,,,,0,,,,,,,,0,,,,,,
111,70580,646,0,646,1.99382716,501,324,177,35.32934132,632,0,632,2,502,316,186,37.05179283,631,0,631,1.996835443,502,316,186,37.05179283,637,0,637,1.996865204,505,319,186,36.83168317,655,0,655,1.99695122,505,328,177,35.04950495,634,0,634,2,505,317,188,37.22772277,635,0,635,1.996855346,507,318,189,37.27810651,,0,,,,,,,,0,,,,,,,,0,,,,,,
111,99990,63,0,63,2.52,256,25,231,90.234375,61,0,61,2.44,256,25,231,90.234375,61,0,61,2.44,257,25,232,90.27237354,63,0,63,2.52,260,25,235,90.38461538,64,0,64,2.461538462,260,26,234,90,62,0,62,2.48,260,25,235,90.38461538,63,0,63,2.52,264,25,239,90.53030303,,0,,,,,,,,0,,,,,,,,0,,,,,,
113,0,7356,9,7347,2.128948131,6659,3451,3208,48.17540171,7477,9,7468,2.129455375,6683,3507,3176,47.52356726,7570,9,7561,2.129859155,6690,3550,3140,46.93572496,7629,9,7620,2.129681386,6702,3578,3124,46.61295136,7751,9,7742,2.129262926,6714,3636,3078,45.84450402,7843,9,7834,2.130541202,6794,3677,3117,45.87871651,8000,9,7991,2.130365236,6826,3751,3075,45.04834456,,9,,,,,,,,9,,,,,,,,9,,,,,,
113,68655,40,0,40,2.222222222,23,18,5,21.73913043,40,0,40,2.222222222,23,18,5,21.73913043,41,0,41,2.277777778,23,18,5,21.73913043,41,0,41,2.277777778,23,18,5,21.73913043,42,0,42,2.210526316,23,19,4,17.39130435,42,0,42,2.210526316,23,19,4,17.39130435,44,0,44,2.2,24,20,4,16.66666667,,0,,,,,,,,0,,,,,,,,0,,,,,,
113,76795,2319,0,2319,2.141274238,2076,1083,993,47.83236994,2370,0,2370,2.140921409,2094,1107,987,47.13467049,2401,0,2401,2.141837645,2098,1121,977,46.56816015,2426,0,2426,2.141218005,2106,1133,973,46.20132953,2465,0,2465,2.141615986,2111,1151,960,45.47607769,2485,0,2485,2.14039621,2132,1161,971,45.54409006,2537,0,2537,2.14092827,2146,1185,961,44.78098788,,0,,,,,,,,0,,,,,,,,0,,,,,,
113,52550,1313,0,1313,1.757697456,2066,747,1319,63.84317522,1334,0,1334,1.757575758,2072,759,1313,63.36872587,1352,0,1352,1.758127438,2075,769,1306,62.93975904,1362,0,1362,1.757419355,2079,775,1304,62.72246272,1383,0,1383,1.757306226,2082,787,1295,62.19980788,1382,0,1382,1.75826972,2085,786,1299,62.30215827,1404,0,1404,1.757196496,2088,799,1289,61.73371648,,0,,,,,,,,0,,,,,,,,0,,,,,,
113,54880,517,0,517,2.404651163,250,215,35,14,524,0,524,2.414746544,250,217,33,13.2,530,0,530,2.409090909,250,220,30,12,533,0,533,2.411764706,250,221,29,11.6,547,0,547,2.40969163,253,227,26,10.27667984,550,0,550,2.412280702,255,228,27,10.58823529,561,0,561,2.407725322,256,233,23,8.984375,,0,,,,,,,,0,,,,,,,,0,,,,,,
113,55870,180,0,180,2.686567164,73,67,6,8.219178082,182,0,182,2.676470588,73,68,5,6.849315068,184,0,184,2.705882353,73,68,5,6.849315068,186,0,186,2.695652174,73,69,4,5.479452055,191,0,191,2.690140845,74,71,3,4.054054054,191,0,191,2.690140845,74,71,3,4.054054054,194,0,194,2.694444444,74,72,2,2.702702703,,0,,,,,,,,0,,,,,,,,0,,,,,,
113,99990,2987,9,2978,2.254352763,2171,1321,850,39.1524643,3027,9,3018,2.255605381,2171,1338,833,38.36941502,3062,9,3053,2.254800591,2171,1354,817,37.63242745,3081,9,3072,2.255506608,2171,1362,809,37.26393367,3123,9,3114,2.254887762,2171,1381,790,36.38876094,3193,9,3184,2.254957507,2225,1412,813,36.53932584,3260,9,3251,2.254507628,2238,1442,796,35.56747096,,9,,,,,,,,9,,,,,,,,9,,,,,,
115,0,2367,35,2332,2.145354186,1415,1087,328,23.18021201,2367,35,2332,2.145354186,1415,1087,328,23.18021201,2370,35,2335,2.142201835,1415,1090,325,22.96819788,2343,35,2308,2.148975791,1416,1074,342,24.15254237,2331,35,2296,2.149812734,1419,1068,351,24.73572939,2389,35,2354,2.149771689,1420,1095,325,22.88732394,2421,35,2386,2.143755615,1420,1113,307,21.61971831,,35,,,,,,,,35,,,,,,,,35,,,,,,
115,56475,318,0,318,2.271428571,176,140,36,20.45454545,318,0,318,2.271428571,176,140,36,20.45454545,318,0,318,2.255319149,176,141,35,19.88636364,318,0,318,2.287769784,176,139,37,21.02272727,316,0,316,2.306569343,176,137,39,22.15909091,320,0,320,2.302158273,176,139,37,21.02272727,321,0,321,2.276595745,176,141,35,19.88636364,,0,,,,,,,,0,,,,,,,,0,,,,,,
115,68930,145,0,145,1.933333333,110,75,35,31.81818182,145,0,145,1.933333333,110,75,35,31.81818182,145,0,145,1.933333333,110,75,35,31.81818182,143,0,143,1.932432432,110,74,36,32.72727273,142,0,142,1.918918919,110,74,36,32.72727273,146,0,146,1.921052632,110,76,34,30.90909091,148,0,148,1.922077922,110,77,33,30,,0,,,,,,,,0,,,,,,,,0,,,,,,
115,39965,1218,35,1183,2.086419753,730,567,163,22.32876712,1218,35,1183,2.086419753,730,567,163,22.32876712,1220,35,1185,2.086267606,730,568,162,22.19178082,1203,35,1168,2.089445438,730,559,171,23.42465753,1196,35,1161,2.088129496,731,556,175,23.93980848,1226,35,1191,2.089473684,731,570,161,22.0246238,1245,35,1210,2.086206897,731,580,151,20.65663475,,35,,,,,,,,35,,,,,,,,35,,,,,,
